final_loss,stem_length,stem_width,branch_length,branch_width,learning_rate
11.269707,0,1,1,1,0.001
7.536678,0,1,1,2,0.001
9.823752,0,1,1,3,0.001
8.518589,0,1,1,4,0.001
14.913325,0,1,1,5,0.001
11.085522,0,1,2,1,0.001
11.030971,0,1,2,2,0.001
6.8840613,0,1,2,3,0.001
13.974623,0,1,2,4,0.001
5.232841,0,1,2,5,0.001
10.051326,0,1,3,1,0.001
8.584429,0,1,3,2,0.001
9.450731,0,1,3,3,0.001
12.750181,0,1,3,4,0.001
4.395388,0,1,3,5,0.001
9.413295,0,1,4,1,0.001
10.50238,0,1,4,2,0.001
9.949701,0,1,4,3,0.001
8.069931,0,1,4,4,0.001
8.087025,0,1,4,5,0.001
11.210493,0,1,5,1,0.001
9.072318,0,1,5,2,0.001
9.907141,0,1,5,3,0.001
8.131712,0,1,5,4,0.001
5.954178,0,1,5,5,0.001
9.618299,0,2,1,1,0.001
12.49279,0,2,1,2,0.001
13.5989275,0,2,1,3,0.001
7.3521404,0,2,1,4,0.001
21.716639,0,2,1,5,0.001
11.730318,0,2,2,1,0.001
12.018014,0,2,2,2,0.001
15.598675,0,2,2,3,0.001
7.701079,0,2,2,4,0.001
4.3167043,0,2,2,5,0.001
11.042227,0,2,3,1,0.001
9.942421,0,2,3,2,0.001
7.5156536,0,2,3,3,0.001
6.9033117,0,2,3,4,0.001
8.8110895,0,2,3,5,0.001
9.525709,0,2,4,1,0.001
10.3080635,0,2,4,2,0.001
5.660545,0,2,4,3,0.001
7.4531813,0,2,4,4,0.001
6.9133706,0,2,4,5,0.001
9.429028,0,2,5,1,0.001
10.6240425,0,2,5,2,0.001
7.430848,0,2,5,3,0.001
10.664386,0,2,5,4,0.001
6.0515847,0,2,5,5,0.001
21.681858,0,3,1,1,0.001
42.747055,0,3,1,2,0.001
6.993175,0,3,1,3,0.001
14.941307,0,3,1,4,0.001
5.1371884,0,3,1,5,0.001
10.925949,0,3,2,1,0.001
17.771126,0,3,2,2,0.001
107.85376,0,3,2,3,0.001
4.7893944,0,3,2,4,0.001
6.697271,0,3,2,5,0.001
8.544874,0,3,3,1,0.001
9.492478,0,3,3,2,0.001
12.471549,0,3,3,3,0.001
15.735307,0,3,3,4,0.001
5.1025786,0,3,3,5,0.001
9.291944,0,3,4,1,0.001
10.301572,0,3,4,2,0.001
9.99299,0,3,4,3,0.001
10.77057,0,3,4,4,0.001
5.612485,0,3,4,5,0.001
11.206067,0,3,5,1,0.001
6.4870462,0,3,5,2,0.001
10.284097,0,3,5,3,0.001
8.0044565,0,3,5,4,0.001
